,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
0,,Mozambique (Akimbo),1161,380335,-,25462,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,302,303375,122766,21411,17.44%,77h 48m 13s,Any player,Y4-Split2 ALGS-Playoffs
2,,Hemlok Burst AR,280,300414,118595,18110,15.27%,81h 9m 49s,Any player,Y4-Split2 ALGS-Playoffs
3,,HAVOC Rifle,258,126728,43592,7861,18.03%,31h 48m 17s,Any player,Y4-Split2 ALGS-Playoffs
4,,Mastiff Shotgun,213,77162,3006,-,-,13h 49m 2s,Any player,Y4-Split2 ALGS-Playoffs
5,,Mozambique Shotgun,125,37268,33733,-,-,63h 20m 56s,Any player,Y4-Split2 ALGS-Playoffs
6,,VK-47 Flatline,110,74321,34551,4677,13.54%,24h 46m 37s,Any player,Y4-Split2 ALGS-Playoffs
7,,G7 Scout,109,140793,37411,4697,12.56%,35h 29m 6s,Any player,Y4-Split2 ALGS-Playoffs
8,,EVA-8 Auto,73,22411,1676,-,-,3h 56m 21s,Any player,Y4-Split2 ALGS-Playoffs
9,,Triple Take,55,95735,9513,-,-,24h 7m 43s,Any player,Y4-Split2 ALGS-Playoffs
10,,Frag Grenade,52,40835,-,831,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
11,,Arc Star,48,32935,-,1019,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
12,,Volt SMG,48,24230,9776,1799,18.4%,7h 32m 10s,Any player,Y4-Split2 ALGS-Playoffs
13,,Devotion LMG,43,14685,-,996,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
14,,30-30 Repeater,42,76311,12022,1887,15.7%,21h 59m 55s,Any player,Y4-Split2 ALGS-Playoffs
15,,R-301 Carbine,37,28171,16270,2478,15.23%,8h 40m 51s,Any player,Y4-Split2 ALGS-Playoffs
16,,Prowler Burst PDW,25,10024,5813,724,12.45%,3h 28m 1s,Any player,Y4-Split2 ALGS-Playoffs
17,,R-99 SMG,25,7149,-,652,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
18,,Peacekeeper,23,12340,401,-,-,3h 41m 46s,Any player,Y4-Split2 ALGS-Playoffs
19,,Bocek Compound Bow,22,19063,-,337,-,1h 49m 31s,Any player,Y4-Split2 ALGS-Playoffs
20,,Kraber .50-Cal Sniper,22,17210,3,145,-,1h 50m 30s,Any player,Y4-Split2 ALGS-Playoffs
21,,L-STAR EMG,21,12796,6958,838,12.04%,4h 34m 21s,Any player,Y4-Split2 ALGS-Playoffs
22,,Thermite Grenade,19,9315,-,2721,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
23,,Sentinel,16,33829,1935,484,25.01%,10h 9m 42s,Any player,Y4-Split2 ALGS-Playoffs
24,,Charge Rifle,14,29644,1759,-,-,6h 46m 7s,Any player,Y4-Split2 ALGS-Playoffs
25,,Rampage LMG,13,15478,6109,696,11.39%,5h 56m 42s,Any player,Y4-Split2 ALGS-Playoffs
26,,P2020,12,4530,1611,220,13.66%,1h 46m 8s,Any player,Y4-Split2 ALGS-Playoffs
27,,M600 Spitfire,12,7287,4606,457,9.92%,3h 18m 4s,Any player,Y4-Split2 ALGS-Playoffs
28,,C.A.R. SMG,8,2600,2778,239,8.6%,1h 8m 58s,Any player,Y4-Split2 ALGS-Playoffs
29,,Longbow DMR,6,10217,1223,199,16.27%,3h 8m 51s,Any player,Y4-Split2 ALGS-Playoffs
30,,P2020 (Akimbo),2,2257,-,112,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
31,,Wingman,2,3206,606,73,12.05%,1h 33m 20s,Any player,Y4-Split2 ALGS-Playoffs
32,,Melee,2,139,-,5,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
33,,Alternator SMG,1,1069,1436,72,5.01%,1h 8m 11s,Any player,Y4-Split2 ALGS-Playoffs
34,,RE-45 Auto,0,131,484,12,2.48%,0h 22m 41s,Any player,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),20,4493,-,303,-,0h 0m 0s,E36 Cinap,Y4-Split2 ALGS-Playoffs
1,,HAVOC Rifle,9,2080,357,125,35.01%,0h 16m 14s,E36 Cinap,Y4-Split2 ALGS-Playoffs
2,,Hemlok Burst AR,8,6799,1804,380,21.06%,1h 20m 18s,E36 Cinap,Y4-Split2 ALGS-Playoffs
3,,Frag Grenade,2,764,-,17,-,0h 0m 0s,E36 Cinap,Y4-Split2 ALGS-Playoffs
4,,Nemesis Burst AR,2,2946,916,236,25.76%,0h 37m 8s,E36 Cinap,Y4-Split2 ALGS-Playoffs
5,,G7 Scout,2,223,36,9,25%,0h 2m 4s,E36 Cinap,Y4-Split2 ALGS-Playoffs
6,,EVA-8 Auto,1,154,20,-,-,0h 4m 19s,E36 Cinap,Y4-Split2 ALGS-Playoffs
7,,Kraber .50-Cal Sniper,1,148,4,2,50%,0h 2m 2s,E36 Cinap,Y4-Split2 ALGS-Playoffs
8,,Devotion LMG,1,188,-,13,-,0h 0m 0s,E36 Cinap,Y4-Split2 ALGS-Playoffs
9,,R-301 Carbine,0,625,267,53,19.85%,0h 9m 17s,E36 Cinap,Y4-Split2 ALGS-Playoffs
10,,Mozambique Shotgun,0,147,300,-,-,0h 31m 14s,E36 Cinap,Y4-Split2 ALGS-Playoffs
11,,RE-45 Auto,0,0,5,-,0%,0h 0m 19s,E36 Cinap,Y4-Split2 ALGS-Playoffs
12,,VK-47 Flatline,0,250,70,16,22.86%,0h 2m 57s,E36 Cinap,Y4-Split2 ALGS-Playoffs
13,,P2020,0,0,2,-,0%,0h 0m 13s,E36 Cinap,Y4-Split2 ALGS-Playoffs
14,,Volt SMG,0,0,34,-,0%,0h 2m 14s,E36 Cinap,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,13,-,0%,0h 0m 16s,E36 Cinap,Y4-Split2 ALGS-Playoffs
16,,Arc Star,0,16,-,3,-,0h 0m 0s,E36 Cinap,Y4-Split2 ALGS-Playoffs
17,,Triple Take,0,142,-,-,-,0h 0m 17s,E36 Cinap,Y4-Split2 ALGS-Playoffs
18,,Rampage LMG,0,279,24,11,45.83%,0h 3m 5s,E36 Cinap,Y4-Split2 ALGS-Playoffs
19,,Sentinel,0,140,12,2,16.67%,0h 1m 40s,E36 Cinap,Y4-Split2 ALGS-Playoffs
20,,M600 Spitfire,0,0,15,-,0%,0h 0m 11s,E36 Cinap,Y4-Split2 ALGS-Playoffs
21,,Longbow DMR,0,0,-,-,NAN%,0h 0m 14s,E36 Cinap,Y4-Split2 ALGS-Playoffs
22,,30-30 Repeater,0,0,-,-,NAN%,0h 0m 2s,E36 Cinap,Y4-Split2 ALGS-Playoffs
23,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 16s,E36 Cinap,Y4-Split2 ALGS-Playoffs
24,,Mastiff Shotgun,0,297,2,-,-,0h 6m 13s,E36 Cinap,Y4-Split2 ALGS-Playoffs
25,,Thermite Grenade,0,92,-,31,-,0h 0m 0s,E36 Cinap,Y4-Split2 ALGS-Playoffs
26,,C.A.R. SMG,0,0,7,-,0%,0h 0m 18s,E36 Cinap,Y4-Split2 ALGS-Playoffs
27,,Peacekeeper,0,0,-,-,-,0h 0m 4s,E36 Cinap,Y4-Split2 ALGS-Playoffs
28,,Wingman,0,0,-,-,NAN%,0h 0m 5s,E36 Cinap,Y4-Split2 ALGS-Playoffs
29,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 3s,E36 Cinap,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),11,2069,-,140,-,0h 0m 0s,DF Pite,Y4-Split2 ALGS-Playoffs
1,,HAVOC Rifle,6,1879,878,114,12.98%,0h 26m 30s,DF Pite,Y4-Split2 ALGS-Playoffs
2,,Mastiff Shotgun,4,1517,80,-,-,0h 15m 34s,DF Pite,Y4-Split2 ALGS-Playoffs
3,,Mozambique Shotgun,3,775,339,-,-,0h 33m 31s,DF Pite,Y4-Split2 ALGS-Playoffs
4,,Nemesis Burst AR,2,1618,681,114,16.74%,0h 36m 57s,DF Pite,Y4-Split2 ALGS-Playoffs
5,,Bocek Compound Bow,2,1020,-,15,-,0h 3m 45s,DF Pite,Y4-Split2 ALGS-Playoffs
6,,P2020,2,499,127,25,19.69%,0h 3m 19s,DF Pite,Y4-Split2 ALGS-Playoffs
7,,EVA-8 Auto,1,645,46,-,-,0h 3m 46s,DF Pite,Y4-Split2 ALGS-Playoffs
8,,Triple Take,1,1271,137,-,-,0h 19m 33s,DF Pite,Y4-Split2 ALGS-Playoffs
9,,G7 Scout,0,1075,349,36,10.32%,0h 26m 4s,DF Pite,Y4-Split2 ALGS-Playoffs
10,,Prowler Burst PDW,0,389,197,27,13.71%,0h 16m 5s,DF Pite,Y4-Split2 ALGS-Playoffs
11,,Hemlok Burst AR,0,2200,1200,131,10.92%,1h 12m 1s,DF Pite,Y4-Split2 ALGS-Playoffs
12,,Volt SMG,0,383,198,28,14.14%,0h 6m 22s,DF Pite,Y4-Split2 ALGS-Playoffs
13,,Arc Star,0,115,-,5,-,0h 0m 0s,DF Pite,Y4-Split2 ALGS-Playoffs
14,,L-STAR EMG,0,0,12,-,0%,0h 2m 0s,DF Pite,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,39,-,0%,0h 0m 26s,DF Pite,Y4-Split2 ALGS-Playoffs
16,,C.A.R. SMG,0,0,38,-,0%,0h 1m 57s,DF Pite,Y4-Split2 ALGS-Playoffs
17,,R-301 Carbine,0,345,684,27,3.95%,0h 29m 37s,DF Pite,Y4-Split2 ALGS-Playoffs
18,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 15s,DF Pite,Y4-Split2 ALGS-Playoffs
19,,Peacekeeper,0,66,2,-,-,0h 4m 59s,DF Pite,Y4-Split2 ALGS-Playoffs
20,,Rampage LMG,0,0,-,-,NAN%,0h 0m 6s,DF Pite,Y4-Split2 ALGS-Playoffs
21,,Sentinel,0,79,10,1,10%,0h 6m 4s,DF Pite,Y4-Split2 ALGS-Playoffs
22,,Wingman,0,0,-,-,NAN%,0h 0m 10s,DF Pite,Y4-Split2 ALGS-Playoffs
23,,VK-47 Flatline,0,931,444,92,20.72%,0h 22m 35s,DF Pite,Y4-Split2 ALGS-Playoffs
24,,30-30 Repeater,0,384,62,9,14.52%,0h 6m 18s,DF Pite,Y4-Split2 ALGS-Playoffs
25,,Charge Rifle,0,0,-,-,-,0h 0m 2s,DF Pite,Y4-Split2 ALGS-Playoffs
26,,M600 Spitfire,0,0,-,-,NAN%,0h 2m 35s,DF Pite,Y4-Split2 ALGS-Playoffs
27,,Thermite Grenade,0,69,-,21,-,0h 0m 0s,DF Pite,Y4-Split2 ALGS-Playoffs
28,,Frag Grenade,0,33,-,1,-,0h 0m 0s,DF Pite,Y4-Split2 ALGS-Playoffs
29,,Longbow DMR,0,89,8,1,12.5%,0h 4m 54s,DF Pite,Y4-Split2 ALGS-Playoffs
0,,HAVOC Rifle,6,2171,604,128,21.19%,0h 23m 7s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
1,,Mozambique (Akimbo),4,1918,-,126,-,0h 0m 0s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
2,,Nemesis Burst AR,1,2147,971,167,17.2%,0h 33m 17s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
3,,EVA-8 Auto,0,0,-,-,-,0h 0m 5s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
4,,Mozambique Shotgun,0,0,210,-,-,0h 17m 9s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
5,,Frag Grenade,0,128,-,2,-,0h 0m 0s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
6,,Volt SMG,0,0,20,-,0%,0h 1m 48s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
7,,VK-47 Flatline,0,0,17,-,0%,0h 0m 29s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
8,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 16s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
9,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 7s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
10,,Mastiff Shotgun,0,30,-,-,-,0h 0m 37s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
11,,P2020,0,0,-,-,NAN%,0h 0m 10s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
12,,G7 Scout,0,983,185,32,17.3%,0h 6m 31s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
13,,Triple Take,0,0,1,-,-,0h 0m 18s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
14,,Hemlok Burst AR,0,1080,484,63,13.02%,0h 23m 51s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
15,,Prowler Burst PDW,0,0,15,-,0%,0h 0m 28s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
16,,Alternator SMG,0,0,-,-,NAN%,0h 0m 4s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
17,,L-STAR EMG,0,0,46,-,0%,0h 0m 14s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
18,,Peacekeeper,0,0,-,-,-,0h 0m 9s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
19,,Arc Star,0,131,-,3,-,0h 0m 0s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
20,,Rampage LMG,0,0,-,-,NAN%,0h 0m 1s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
21,,Devotion LMG,0,196,-,13,-,0h 0m 0s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
22,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 7s,XNY Yuchen,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),12,3514,-,237,-,0h 0m 0s,HAO Right,Y4-Split2 ALGS-Playoffs
1,,Mozambique Shotgun,3,753,444,-,-,0h 58m 26s,HAO Right,Y4-Split2 ALGS-Playoffs
2,,HAVOC Rifle,2,1715,791,104,13.15%,0h 31m 9s,HAO Right,Y4-Split2 ALGS-Playoffs
3,,VK-47 Flatline,2,459,268,28,10.45%,0h 7m 49s,HAO Right,Y4-Split2 ALGS-Playoffs
4,,L-STAR EMG,2,706,358,46,12.85%,0h 10m 26s,HAO Right,Y4-Split2 ALGS-Playoffs
5,,R-99 SMG,2,555,-,49,-,0h 0m 0s,HAO Right,Y4-Split2 ALGS-Playoffs
6,,Hemlok Burst AR,1,387,353,19,5.38%,0h 16m 22s,HAO Right,Y4-Split2 ALGS-Playoffs
7,,Mastiff Shotgun,1,662,50,-,-,0h 9m 16s,HAO Right,Y4-Split2 ALGS-Playoffs
8,,Nemesis Burst AR,0,952,393,66,16.79%,0h 13m 42s,HAO Right,Y4-Split2 ALGS-Playoffs
9,,Volt SMG,0,636,290,49,16.9%,0h 13m 47s,HAO Right,Y4-Split2 ALGS-Playoffs
10,,RE-45 Auto,0,0,9,-,0%,0h 0m 25s,HAO Right,Y4-Split2 ALGS-Playoffs
11,,P2020,0,0,9,-,0%,0h 0m 18s,HAO Right,Y4-Split2 ALGS-Playoffs
12,,C.A.R. SMG,0,0,12,-,0%,0h 0m 35s,HAO Right,Y4-Split2 ALGS-Playoffs
13,,Prowler Burst PDW,0,229,75,18,24%,0h 1m 47s,HAO Right,Y4-Split2 ALGS-Playoffs
14,,Thermite Grenade,0,179,-,50,-,0h 0m 0s,HAO Right,Y4-Split2 ALGS-Playoffs
15,,EVA-8 Auto,0,0,-,-,-,0h 0m 54s,HAO Right,Y4-Split2 ALGS-Playoffs
16,,Sentinel,0,70,19,1,5.26%,0h 7m 5s,HAO Right,Y4-Split2 ALGS-Playoffs
17,,Wingman,0,86,11,2,18.18%,0h 1m 29s,HAO Right,Y4-Split2 ALGS-Playoffs
18,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 7s,HAO Right,Y4-Split2 ALGS-Playoffs
19,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 9s,HAO Right,Y4-Split2 ALGS-Playoffs
20,,30-30 Repeater,0,292,38,6,15.79%,0h 7m 45s,HAO Right,Y4-Split2 ALGS-Playoffs
21,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 0m 2s,HAO Right,Y4-Split2 ALGS-Playoffs
22,,Charge Rifle,0,0,-,-,-,0h 0m 1s,HAO Right,Y4-Split2 ALGS-Playoffs
23,,Peacekeeper,0,0,-,-,-,0h 0m 18s,HAO Right,Y4-Split2 ALGS-Playoffs
24,,Triple Take,0,40,28,-,-,0h 2m 51s,HAO Right,Y4-Split2 ALGS-Playoffs
25,,Alternator SMG,0,0,-,-,NAN%,0h 0m 24s,HAO Right,Y4-Split2 ALGS-Playoffs
26,,Frag Grenade,0,717,-,11,-,0h 0m 0s,HAO Right,Y4-Split2 ALGS-Playoffs
27,,Arc Star,0,16,-,4,-,0h 0m 0s,HAO Right,Y4-Split2 ALGS-Playoffs
28,,Bocek Compound Bow,0,140,-,2,-,0h 2m 18s,HAO Right,Y4-Split2 ALGS-Playoffs
29,,G7 Scout,0,66,37,2,5.41%,0h 2m 44s,HAO Right,Y4-Split2 ALGS-Playoffs
0,,Nemesis Burst AR,15,7085,2480,499,20.12%,0h 55m 11s,LG Sweet,Y4-Split2 ALGS-Playoffs
1,,Mozambique (Akimbo),10,3332,-,220,-,0h 0m 0s,LG Sweet,Y4-Split2 ALGS-Playoffs
2,,HAVOC Rifle,7,2940,1239,180,14.53%,0h 38m 55s,LG Sweet,Y4-Split2 ALGS-Playoffs
3,,Mozambique Shotgun,3,286,345,-,-,0h 25m 42s,LG Sweet,Y4-Split2 ALGS-Playoffs
4,,Mastiff Shotgun,2,640,20,-,-,0h 4m 58s,LG Sweet,Y4-Split2 ALGS-Playoffs
5,,R-301 Carbine,1,586,155,49,31.61%,0h 2m 54s,LG Sweet,Y4-Split2 ALGS-Playoffs
6,,30-30 Repeater,1,504,70,12,17.14%,0h 6m 40s,LG Sweet,Y4-Split2 ALGS-Playoffs
7,,Hemlok Burst AR,1,769,409,50,12.22%,0h 8m 44s,LG Sweet,Y4-Split2 ALGS-Playoffs
8,,VK-47 Flatline,1,1394,944,87,9.22%,0h 22m 48s,LG Sweet,Y4-Split2 ALGS-Playoffs
9,,Kraber .50-Cal Sniper,1,434,-,3,-,0h 1m 42s,LG Sweet,Y4-Split2 ALGS-Playoffs
10,,Devotion LMG,1,485,-,41,-,0h 0m 0s,LG Sweet,Y4-Split2 ALGS-Playoffs
11,,Thermite Grenade,0,100,-,28,-,0h 0m 0s,LG Sweet,Y4-Split2 ALGS-Playoffs
12,,Arc Star,0,478,-,17,-,0h 0m 0s,LG Sweet,Y4-Split2 ALGS-Playoffs
13,,Sentinel,0,0,-,-,NAN%,0h 0m 14s,LG Sweet,Y4-Split2 ALGS-Playoffs
14,,Wingman,0,0,-,-,NAN%,0h 0m 3s,LG Sweet,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,7,-,0%,0h 0m 5s,LG Sweet,Y4-Split2 ALGS-Playoffs
16,,EVA-8 Auto,0,64,8,-,-,0h 1m 52s,LG Sweet,Y4-Split2 ALGS-Playoffs
17,,Prowler Burst PDW,0,0,4,-,0%,0h 0m 10s,LG Sweet,Y4-Split2 ALGS-Playoffs
18,,G7 Scout,0,0,8,-,0%,0h 0m 18s,LG Sweet,Y4-Split2 ALGS-Playoffs
19,,Peacekeeper,0,0,12,-,-,0h 0m 6s,LG Sweet,Y4-Split2 ALGS-Playoffs
20,,Volt SMG,0,0,-,-,NAN%,0h 6m 41s,LG Sweet,Y4-Split2 ALGS-Playoffs
21,,RE-45 Auto,0,0,36,-,0%,0h 0m 12s,LG Sweet,Y4-Split2 ALGS-Playoffs
22,,P2020,0,0,10,-,0%,0h 0m 9s,LG Sweet,Y4-Split2 ALGS-Playoffs
23,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 10s,LG Sweet,Y4-Split2 ALGS-Playoffs
24,,L-STAR EMG,0,67,71,5,7.04%,0h 0m 48s,LG Sweet,Y4-Split2 ALGS-Playoffs
25,,Triple Take,0,0,5,-,-,0h 0m 57s,LG Sweet,Y4-Split2 ALGS-Playoffs
26,,Frag Grenade,0,149,-,2,-,0h 0m 0s,LG Sweet,Y4-Split2 ALGS-Playoffs
27,,Rampage LMG,0,0,-,-,NAN%,0h 0m 1s,LG Sweet,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),30,7433,-,491,-,0h 0m 0s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,7,4296,1672,285,17.05%,1h 16m 36s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
2,,Frag Grenade,4,763,-,12,-,0h 0m 0s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
3,,L-STAR EMG,3,498,154,34,22.08%,0h 5m 57s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
4,,Hemlok Burst AR,1,3655,1217,211,17.34%,0h 59m 40s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
5,,VK-47 Flatline,1,880,691,93,13.46%,0h 22m 27s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
6,,HAVOC Rifle,0,0,30,-,0%,0h 0m 42s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
7,,EVA-8 Auto,0,0,-,-,-,0h 2m 25s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
8,,Alternator SMG,0,0,-,-,NAN%,0h 0m 18s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
9,,Mastiff Shotgun,0,75,2,-,-,0h 2m 3s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
10,,Arc Star,0,672,-,20,-,0h 0m 0s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
11,,Thermite Grenade,0,138,-,40,-,0h 0m 0s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
12,,R-301 Carbine,0,0,35,-,0%,0h 0m 39s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
13,,Mozambique Shotgun,0,0,500,-,-,1h 20m 58s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
14,,R-99 SMG,0,52,-,6,-,0h 0m 0s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
15,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 10s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
16,,Volt SMG,0,0,-,-,NAN%,0h 0m 27s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
17,,Triple Take,0,0,-,-,-,0h 0m 3s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
18,,Peacekeeper,0,0,-,-,-,0h 3m 15s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
19,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 22s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
20,,Rampage LMG,0,0,14,-,0%,0h 0m 21s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
21,,G7 Scout,0,1249,233,39,16.74%,0h 17m 40s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
22,,30-30 Repeater,0,966,145,23,15.86%,0h 14m 18s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
23,,C.A.R. SMG,0,0,8,-,0%,0h 0m 12s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
24,,P2020,0,0,-,-,NAN%,0h 0m 7s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
25,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 4s,FLCN Imperialhal,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),14,4694,-,319,-,0h 0m 0s,FNC satuki,Y4-Split2 ALGS-Playoffs
1,,Hemlok Burst AR,5,5295,2281,401,17.58%,1h 12m 35s,FNC satuki,Y4-Split2 ALGS-Playoffs
2,,Mastiff Shotgun,5,1105,70,-,-,0h 9m 44s,FNC satuki,Y4-Split2 ALGS-Playoffs
3,,30-30 Repeater,4,4097,771,112,14.53%,1h 10m 58s,FNC satuki,Y4-Split2 ALGS-Playoffs
4,,Thermite Grenade,3,131,-,38,-,0h 0m 0s,FNC satuki,Y4-Split2 ALGS-Playoffs
5,,Mozambique Shotgun,0,133,313,-,-,0h 37m 58s,FNC satuki,Y4-Split2 ALGS-Playoffs
6,,Frag Grenade,0,101,-,3,-,0h 0m 0s,FNC satuki,Y4-Split2 ALGS-Playoffs
7,,Arc Star,0,259,-,8,-,0h 0m 0s,FNC satuki,Y4-Split2 ALGS-Playoffs
8,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 15s,FNC satuki,Y4-Split2 ALGS-Playoffs
9,,VK-47 Flatline,0,317,190,21,11.05%,0h 10m 7s,FNC satuki,Y4-Split2 ALGS-Playoffs
10,,RE-45 Auto,0,0,4,-,0%,0h 0m 13s,FNC satuki,Y4-Split2 ALGS-Playoffs
11,,EVA-8 Auto,0,341,44,-,-,0h 5m 10s,FNC satuki,Y4-Split2 ALGS-Playoffs
12,,HAVOC Rifle,0,191,46,11,23.91%,0h 2m 36s,FNC satuki,Y4-Split2 ALGS-Playoffs
13,,Triple Take,0,3017,231,-,-,0h 34m 26s,FNC satuki,Y4-Split2 ALGS-Playoffs
14,,Nemesis Burst AR,0,1133,703,93,13.23%,0h 25m 38s,FNC satuki,Y4-Split2 ALGS-Playoffs
15,,L-STAR EMG,0,0,6,-,0%,0h 0m 15s,FNC satuki,Y4-Split2 ALGS-Playoffs
16,,Bocek Compound Bow,0,1273,2,19,-,0h 4m 17s,FNC satuki,Y4-Split2 ALGS-Playoffs
17,,G7 Scout,0,0,1,-,0%,0h 0m 17s,FNC satuki,Y4-Split2 ALGS-Playoffs
18,,P2020,0,0,-,-,NAN%,0h 0m 5s,FNC satuki,Y4-Split2 ALGS-Playoffs
19,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 12s,FNC satuki,Y4-Split2 ALGS-Playoffs
20,,Peacekeeper,0,0,-,-,-,0h 0m 11s,FNC satuki,Y4-Split2 ALGS-Playoffs
21,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 10s,FNC satuki,Y4-Split2 ALGS-Playoffs
22,,Charge Rifle,0,831,33,-,-,0h 6m 16s,FNC satuki,Y4-Split2 ALGS-Playoffs
23,,Rampage LMG,0,393,208,17,8.17%,0h 6m 40s,FNC satuki,Y4-Split2 ALGS-Playoffs
24,,Volt SMG,0,0,-,-,0%,0h 0m 12s,FNC satuki,Y4-Split2 ALGS-Playoffs
25,,Sentinel,0,126,7,1,14.29%,0h 2m 45s,FNC satuki,Y4-Split2 ALGS-Playoffs
26,,Wingman,0,0,-,-,NAN%,0h 0m 11s,FNC satuki,Y4-Split2 ALGS-Playoffs
27,,Alternator SMG,0,0,-,-,NAN%,0h 0m 3s,FNC satuki,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),17,4458,-,304,-,0h 0m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
1,,Mastiff Shotgun,6,1492,24,-,-,0h 16m 19s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
2,,Triple Take,4,8337,562,-,-,1h 28m 40s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
3,,G7 Scout,3,5879,1241,186,14.99%,1h 28m 17s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
4,,EVA-8 Auto,1,137,7,-,-,0h 3m 26s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
5,,VK-47 Flatline,1,166,96,11,11.46%,0h 12m 50s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
